"Depth" "Time" "X_1" "X_2" "Obs"
15.2 -348612.618669335 0.696319329284573 -1.56654989781458 4.79213715621018
15.1 -346141.781674742 0.715376786334534 -1.15406463506132 4.95222239725646
15 -344565.683395948 0.742329981395725 -1.20203365038376 4.86466631588465
14.9 -342346.96429287 0.7922450144683 -0.937716927131315 4.6650175002303
14.8 -340385.23840965 0.589445407134112 -0.516434243180917 4.59267414598795
14.7 -335953.35273414 -0.0471984650643197 -1.54232719375344 4.1629709223776
14.6 -331890.922003781 -0.140283646251988 -1.56242377722534 4.06585215476977
14.5 -329279.960120725 -0.105677859870016 -1.90535876460618 4.31935680837483
14.4 -324726.142912262 0.291466847698723 -1.57341706019104 4.37655504054946
14.3 -319763.810429147 0.536106311489833 -1.33080601335182 4.69206479589096
14.2 -317299.483545745 0.730742819624724 -1.24706520799249 4.83927475938426
14.1 -314472.028404707 0.665603840702557 -1.13823827215743 4.58451628584802
14 -311363.468699141 0.704082590276428 -1.47769290235496 4.72341209363925
13.9 -309388.862837905 0.706639306680386 -1.18987230883879 4.81785509941891
13.8 -309104.349930236 0.665241942425004 -1.29748799219998 4.72221818746989
13.7 -307676.06675203 0.658885483468926 -1.1729212364689 4.76385977409283
13.6 -304725.899567922 0.767910215235372 -1.33785598778992 4.79697565191047
13.5 -303484.565280677 0.810215647954288 -1.09058939740487 4.87954682287145
13.4 -302857.635673109 0.800896539364643 -1.01952919588102 4.84417691411037
13.3 -301104.904727054 0.756212229274481 -0.993288729671447 4.83036510582269
13.2 -298491.643666485 0.749283579164975 -0.671930760772155 4.80313613428164
13.1 -296454.102310446 0.459011434231327 -0.345900373281107 4.47290610311083
13 -296052.554167156 0.384894485842661 -0.102095858334634 4.6061985777769
12.9 -294551.830146568 0.226112705500635 0.457708908583765 4.41658785285795
12.8 -287424.092350571 -0.968163891519925 0.891619624032745 3.46930921511429
12.7 -286120.112796368 -1.01714903385594 0.559381392868523 3.34326726456196
12.6 -284499.189793281 -1.12933788930977 0.0577796927994671 3.461276656036
12.5 -283655.663743628 -1.03925602139196 -0.516373143180292 3.42685270263147
12.4 -282483.1851397 -1.0470550434593 -1.70404781427186 3.4257548705428
12.3 -281159.774229746 -0.885817944092795 -1.96469409262688 3.33567898515877
12.2 -276339.093687902 -0.5086256113734 -2.0203370550886 3.7015430820858
12.1 -270983.95203855 -0.108542257866039 -1.75183457157434 4.19623071791888
12 -270443.831978804 -0.106517066348606 -1.70153656298622 4.13103147083009
11.9 -269379.880208971 -0.0129293221906055 -1.85773504791424 4.24677491185055
11.8 -268521.380518074 0.0682691788013476 -1.77529902125381 4.08259262480002
11.7 -258500.298768925 0.0917520761550503 -1.52130418490295 4.32609027059533
11.6 -256841.354919995 0.135968391473818 -1.78847378663693 4.4953719269729
11.5 -252184.728686965 -0.0700204640197604 -1.80711628793922 4.08488663305867
11.4 -250693.2035648 -0.0189496907662987 -1.68229747200851 4.25831161063978
11.3 -249163.135432707 0.0144796982492473 -1.76473860085618 4.15265595123785
11.2 -248745.507104769 -0.0409004645510401 -1.7504122737988 4.07376528342494
11.1 -246905.037165348 -0.153322152423823 -1.71585056763204 4.13620212341192
11 -245215.768142429 -0.186465222034713 -1.86873154048671 3.89893294890823
10.9 -243441.941873512 -0.386405367634715 -2.01382992506424 3.83611468403188
10.8 -239801.074555724 -0.515102623842704 -1.79364318972904 3.8458910237907
10.7 -237232.745951686 -0.335474820071874 -2.01390595363188 3.94388948395354
10.6 -235828.507565914 -0.177306114350753 -1.77243846537506 4.18160139638035
10.5 -234227.284529737 0.0312650754435131 -1.8079606327247 4.134027590339
10.4 -231975.052835279 0.258699867909126 -1.62497323167921 4.41708312077141
10.3 -231014.464404203 0.351158208659353 -1.7217332326261 4.5215637195018
10.2 -228900.087125382 0.506056620340321 -1.46578087895669 4.43085076105322
10.1 -228347.520881462 0.587688163508111 -1.46738655443565 4.84712721641893
10 -223502.137045313 0.808820353587531 -1.05941404974517 4.7117810732261
9.9 -217328.19029514 0.312501288992908 -1.17440431629724 4.51495006606016
9.8 -215795.82233494 0.23231157160939 -1.55481098780242 4.3435717770274
9.7 -208829.857730536 0.252033999920194 -1.72138245097096 4.34954764251234
9.6 -208148.874334395 0.177017992080263 -1.64316324023015 4.32436100294775
9.5 -207945.690553305 0.185967750961161 -1.68095133006791 4.44926429839209
9.4 -205941.749318886 0.230812185281844 -1.26902622866138 4.36802311935763
9.3 -203577.026745632 0.0818866956000667 -1.74816878604841 4.42204675094535
9.2 -202541.992879527 -0.00295658892545491 -1.93845629268522 4.21586815396009
9.1 -199528.698750776 -0.0690971731702707 -1.56169178576541 4.13284842135328
9 -198907.152935914 -0.0621675245293204 -1.58440988954116 4.24709144598668
8.9 -192185.663937445 0.230284332487049 -1.58695235345754 4.39494195383625
8.8 -190933.765195368 0.385523574829955 -1.58035892004209 4.4554397148837
8.7 -189647.069727743 0.587394513056878 -1.62319428814367 4.43203165343013
8.6 -188947.502654753 0.647171425922539 -1.56045708666471 4.81026466746372
8.5 -183206.918358435 1.01149892178635 0.062786716040258 5.17703029130285
8.4 -182114.389764533 0.917783966308144 0.337074145535246 4.87380894993828
8.3 -180943.328654459 0.781606939699427 1.42934469462501 4.84824217404273
8.2 -180049.095449483 0.66546524772596 1.78170107625112 4.80870055427497
8.1 -178686.824109587 0.371087684655637 1.86879035196193 4.50998643929821
8 -176884.002001492 -0.0567872167125661 1.65468494456702 4.11070320826389
7.9 -175491.854127462 -0.449963561209409 1.41987377749165 3.86526849958005
7.8 -172149.106914068 -1.2316247529684 0.690059662075709 3.1737875996994
7.7 -170296.490360099 -1.34650784831383 -0.421772418105025 2.99439675272967
7.6 -167448.790806616 -1.29160975466106 -1.9877776799939 3.09653166407974
7.5 -166368.794129382 -1.07109070061567 -2.09777007125223 3.24307723426679
7.4 -164756.142774788 -0.972598545906047 -2.13837495915244 3.6967594781478
7.3 -160902.563594248 -0.77383801206928 -2.02262408716925 3.45827411837544
7.2 -158641.570190314 -0.728940193863387 -1.83032751108969 3.68381466136676
7.1 -157320.25388763 -0.605796697601241 -1.97372649932067 3.79623528144289
7 -156703.89161086 -0.530494076204097 -1.9433993730787 3.80778516756443
6.9 -151726.00545921 -0.48567025570382 -1.88344429962859 3.61193396259023
6.8 -149970.626757307 -0.513720925833376 -1.99256077421104 3.79813370930811
6.7 -147399.80708199 -0.634449328527394 -1.89897101247431 3.61632583293786
6.6 -144232.738801097 -0.462927037519934 -2.06187761434359 3.81078535774817
6.5 -140403.899218299 0.119238712278195 -1.69325309554361 4.30460610071114
6.4 -135513.778089048 0.315946150846264 -1.51381042690045 4.20140297995483
6.3 -131119.094254033 0.10531970039261 -1.87483504784861 4.43130925243704
6.2 -128581.898673945 -0.114107435937066 -1.93893342169055 4.08319011906937
6.1 -127034.852638276 -0.270695710827662 -1.84186067166256 3.99916340285647
6 -124298.713902682 -0.325522506424556 -1.90450498313223 3.95281860793769
5.9 -123841.004957949 -0.24432906755485 -2.01883590609726 3.99377939163778
5.8 -122169.092666486 -0.13063790636231 -1.95958177706957 4.05780693415854
5.7 -121634.528759491 -0.0426784396787373 -1.89455777251975 4.19649527943596
5.6 -120407.90468359 0.0991861149041586 -1.62784878766449 4.19487943038551
5.5 -120109.79623259 0.134510528517405 -1.57148789791958 4.2965149246386
5.4 -119562.805169871 0.182403438418635 -1.64001020049716 4.33554610205551
5.3 -116445.21932131 0.467728824969206 -1.53814247627731 4.39790384328521
5.2 -115401.110935486 0.625695188686839 -1.54902266399725 4.78022349278664
5.1 -109352.391888474 0.557149487981286 -1.50422006841659 4.70843838445302
5 -108452.573884379 0.569890845743736 -1.49176495904629 4.55047821803142
4.9 -103358.387245352 0.284794763062468 -1.22316401489945 4.32789089472283
4.8 -101093.190502394 0.391908025193761 -1.54284668319257 4.63294525401359
4.7 -97269.1212533136 0.554220471167092 -1.12116423712476 4.51839734649711
4.6 -96151.4153130752 0.529637778843655 -1.21594331758969 4.60806974999158
4.5 -93706.7377298264 0.768764987541544 -1.28673738443381 4.74277377065406
4.4 -92508.7655497815 0.854033187347246 -1.27191555457446 4.9644875561304
4.3 -92093.3102806283 0.851607710326997 -1.26222642378099 4.98228747264066
4.2 -86761.0956606158 0.523565534046629 -0.946994581919539 4.77636629821729
4.1 -85236.6654492258 0.348232550190981 -0.9373481681186 4.45157811445742
4 -84927.9515075738 0.350819338163039 -0.893312149348099 4.43098197922522
3.9 -83948.4488516059 0.315824294727275 -1.11423553609858 4.15317543909144
3.8 -83132.7553075638 0.387631206871364 -1.34722529404083 4.58991495754204
3.7 -81938.4436356303 0.403999209091872 -1.36513043748324 4.59215811400443
3.6 -79118.9278289979 0.510006953441128 -1.62279988520929 4.55148036343425
3.5 -77740.0580069472 0.580848374066364 -1.34278408960739 4.58829993341407
3.4 -76892.6380330088 0.623303660699756 -1.45077601896667 4.82445622846993
3.3 -76074.0685820246 0.642974076776913 -1.50622695867745 4.88473750614468
3.2 -73663.2672807573 0.771245595582844 -1.4538719022278 4.86800293702032
3.1 -69923.3963543452 0.987345455292386 -0.929446164964657 4.81695691362159
3 -68663.0892358027 1.02211180245092 -0.690943972450039 5.00471118684028
2.9 -66644.9609484297 0.969501631500058 0.0194156434859617 4.94029155030607
2.8 -63796.8998188745 0.399560302368689 1.69772624264135 4.45766851732795
2.7 -61999.6931641835 0.0771579710470234 1.89054798416726 4.36901699322919
2.6 -60758.781303588 -0.196159211056497 1.75285570195133 4.24279524952746
2.5 -57836.103377624 -0.624284573359891 1.35293804528284 3.6591858283286
2.4 -57213.6654718627 -0.717069116938281 1.34205564508097 3.75988464842848
2.3 -50821.7618152978 -1.43255812973029 -1.23141000024582 3.03669481447993
2.2 -48678.0111768058 -1.17540770085196 -2.18426146968198 3.1876775022796
2.1 -47184.6464268859 -1.14342503556468 -2.17654180921949 3.23009809093142
2 -46831.0984449318 -1.13665605672405 -2.12995645204038 3.35312733285168
1.9 -45994.6424101209 -1.14855263791728 -2.12217289839202 3.21770274983812
1.8 -45009.5749894125 -1.05527440825385 -2.05965704817945 3.46643365121156
1.7 -38278.4113458299 -0.649670944762049 -2.02334558440266 3.62975070891573
1.6 -35487.3385082348 -0.635499983925496 -1.97840534988686 3.6939744914686
1.5 -32656.6081918773 -0.550155086922597 -2.09425347916785 3.56991313906741
1.4 -26634.2418368131 0.210025001825915 -1.86704152245588 4.24973704721447
1.3 -25776.1536018715 0.269860708360593 -1.80964730523721 4.40860723663609
1.2 -25353.4457695784 0.24757048604921 -1.64132175989168 4.44019617459183
1.1 -24666.59438739 0.322587769904475 -1.5850029118668 4.44920037035826
1 -23294.5652969901 0.491427597630622 -1.54454549707874 4.52158288268078
0.899999999999999 -22448.0652316858 0.454314302010057 -1.32834726563246 4.4643667617242
0.799999999999997 -18668.4115591047 0.504774181731118 -1.47305359058333 4.45845696769089
0.699999999999999 -16723.7078002713 0.587954859799302 -1.41268635573743 4.62174614287439
0.599999999999998 -14804.9463742056 0.481715997639613 -1.53044381882579 4.57466134983763
0.5 -13436.4244712181 0.412397762497507 -1.47578030651925 4.53908183535336
0.399999999999999 -12165.161764623 0.374359572603975 -1.38636806960897 4.65042098720775
0.299999999999997 -10944.8439604312 0.266701662000824 -1.51441462729171 4.23777642976255
0.199999999999999 -10317.22796699 0.250350580367449 -1.43240181978199 4.47309335077149
0.0999999999999979 -8667.32301532492 0.258096050455136 -1.41579776253723 4.3367655462195
0 3.27418092638254e-10 0.238082199744699 -1.77161249776945 4.33263904534363
